Month,Product_A,Product
2011-01-01,0.00%,0.001959631
2011-02-01,0.03%,0.032617546
2011-03-01,0.10%,0.095820864
2011-04-01,0.16%,0.162252311
2011-05-01,0.23%,0.22721682
2011-06-01,0.32%,0.317669447
2011-07-01,0.36%,0.361898282
2011-08-01,0.41%,0.411028619
2011-09-01,0.48%,0.483340468
2011-10-01,0.55%,0.552513681
2011-11-01,0.61%,0.612510486
2011-12-01,0.67%,0.665196812
2012-01-01,0.66%,0.661599844
2012-02-01,0.72%,0.718821426
2012-03-01,0.77%,0.770998891
2012-04-01,0.79%,0.794603896
2012-05-01,0.86%,0.859575628
2012-06-01,0.94%,0.943743395
2012-07-01,0.97%,0.972972791
2012-08-01,1.02%,1.023586922
2012-09-01,1.03%,1.032559023
2012-10-01,1.08%,1.083041081
2012-11-01,1.12%,1.116572621
2012-12-01,1.14%,1.142067468
2013-01-01,1.15%,1.146735617
2013-02-01,1.18%,1.181356901
2013-03-01,1.23%,1.226798301
2013-04-01,1.26%,1.256158307
2013-05-01,1.32%,1.319843832
2013-06-01,1.36%,1.359135504
2013-07-01,1.44%,1.442205632
2013-08-01,1.58%,1.584351052
2013-09-01,1.71%,1.711150277
2013-10-01,1.84%,1.840198839
2013-11-01,1.95%,1.945487707
2013-12-01,2.02%,2.016732213
2014-01-01,2.11%,2.112178674
2014-02-01,2.28%,2.278807427
2014-03-01,2.42%,2.416449839
2014-04-01,2.55%,2.546239853
2014-05-01,2.67%,2.668601084
2014-06-01,2.73%,2.73088815
2014-07-01,2.82%,2.82393147
2014-08-01,2.88%,2.879150725
2014-09-01,2.96%,2.956948019
2014-10-01,3.06%,3.064123728
2014-11-01,3.05%,3.052007031
2014-12-01,3.14%,3.137209794
2015-01-01,3.17%,3.166404937
2015-02-01,3.22%,3.222209727
2015-03-01,3.29%,3.289390109
2015-04-01,3.40%,3.397057797
2015-05-01,3.46%,3.455507519
2015-06-01,3.53%,3.532546039
2015-07-01,3.62%,3.615405342
2015-08-01,3.61%,3.609222394
2015-09-01,3.67%,3.665150544
2015-10-01,3.79%,3.791008892
2015-11-01,3.79%,3.786325505
2015-12-01,3.85%,3.848510164
2016-01-01,3.77%,3.768542169
2016-02-01,3.80%,3.800879126
2016-03-01,3.85%,3.852737298
2016-04-01,3.90%,3.904076272
2016-05-01,3.92%,3.922464892
2016-06-01,4.00%,3.998747794
2016-07-01,3.98%,3.975302744
2016-08-01,4.01%,4.007303608
2016-09-01,4.03%,4.031897986
2016-10-01,4.06%,4.056843038
2016-11-01,4.10%,4.101939044
2016-12-01,4.18%,4.177373226
2017-01-01,3.89%,3.89174835
2017-02-01,3.92%,3.916902298
2017-03-01,3.96%,3.955562583
2017-04-01,3.97%,3.972957632
2017-05-01,4.01%,4.009590819
2017-06-01,4.06%,4.064919907
2017-07-01,4.04%,4.036362508
2017-08-01,4.08%,4.080291904
2017-09-01,4.07%,4.072107829
2017-10-01,4.08%,4.084320434
2017-11-01,4.12%,4.123386803
2017-12-01,4.09%,4.089794844
2018-01-01,3.98%,3.980644784
2018-02-01,3.95%,3.949898335
2018-03-01,4.01%,4.006301904
2018-04-01,4.02%,4.021287978
2018-05-01,4.12%,4.120967622
2018-06-01,4.16%,4.16116324
2018-07-01,4.15%,4.149426923
2018-08-01,4.17%,4.167202179
2018-09-01,4.13%,4.12945017
2018-10-01,4.18%,4.176538958
2018-11-01,4.21%,4.214383115
2018-12-01,4.21%,4.206856549
2019-01-01,4.15%,4.148817343
2019-02-01,4.17%,4.169608851
2019-03-01,4.22%,4.220277931
2019-04-01,4.27%,4.266099755
2019-05-01,4.40%,4.402337421
2019-06-01,4.25%,4.249276038
